"rank","region","point","lat","lng","timestamp","score","legacy_score","weighted_before_hard","grade","hard_safety","hard_label","hard_reason","wave","swell","wind","current","visibility","wave_factor","wind_factor","swell_factor","exposure","shelter","direction"
"1","영덕","대부방파제","36.3997932796626","129.420643515254","2026-08-14T10:00","68","67","68","보통","False",,"","0.78","0.78","0.54","0.2","55","0.975","0.883","0.975","medium","high","E"
"2","영덕","대탄방파제","36.4321323663723","129.435026781348","2026-08-14T10:00","68","67","68","보통","False",,"","0.78","0.78","0.95","0.2","55","0.975","0.85","0.975","medium","high","E"
"3","영덕","바다마루민박 ( 오메 방파제)","36.4734609469429","129.434208640744","2026-08-14T10:00","68","67","68","보통","False",,"","0.78","0.78","0.95","0.2","55","0.975","0.85","0.975","medium","high","E"
"4","영덕","석동방파제","36.466398866893","129.437130355974","2026-08-14T10:00","68","67","68","보통","False",,"","0.78","0.78","0.95","0.2","55","0.975","0.85","0.975","medium","high","E"
"5","영덕","축산항 인근","36.5122826188956","129.444284644974","2026-08-14T10:00","67","67","67","보통","False",,"","0.78","0.78","1.46","0.3","55","1.012","0.85","1.012","medium","high","NE"
"6","영덕","씨포트리조트 비밀해변","36.5006777677263","129.445873823156","2026-08-14T10:00","66","67","66","보통","False",,"","0.78","0.78","1.46","0.3","55","1.06","0.92","1.06","medium","medium","E"
"7","영덕","BTS 밥대술 민박","36.4889677532808","129.444682558071","2026-08-14T10:00","64","67","64","보통","False",,"","0.78","0.78","1.46","0.2","55","1.145","1.063","1.2","high","medium","E"
"8","영덕","대진스쿠버 앞","36.5636235083139","129.430291997022","2026-08-14T10:00","64","67","64","보통","False",,"","0.78","0.78","1.71","0.3","55","1.145","1.063","1.2","high","medium","E"
"9","영덕","덕신민박 앞","36.5385886460894","129.439479043291","2026-08-14T10:00","64","67","64","보통","False",,"","0.78","0.78","1.71","0.3","55","1.145","1.063","1.2","high","medium","E"
"10","영덕","사진리 151","36.5453167687301","129.439341640324","2026-08-14T10:00","64","67","64","보통","False",,"","0.78","0.78","1.71","0.3","55","1.145","1.063","1.2","high","medium","E"
"11","영덕","해양체험관 아래","36.4171724556126","129.431271061844","2026-08-14T10:00","64","67","64","보통","False",,"","0.78","0.78","0.54","0.2","55","1.145","1.109","1.2","high","medium","E"
"12","영덕","경정해수욕장","36.4792480987331","129.433718996956","2026-08-14T10:00","63","67","63","보통","False",,"","0.78","0.78","1.46","0.2","55","1.2","1.127","1.2","high","low","E"
"13","영덕","대탄해변","36.4371709632081","129.433362666985","2026-08-14T10:00","63","67","63","보통","False",,"","0.78","0.78","0.95","0.2","55","1.2","1.127","1.2","high","low","E"
